sampleid,perwt,ftotinc,incwage,inctot,sex,age,educ,eduyears,degfield,hoursworked,raceethnicity,married,nchild,nchlt5,famsize,occtype,indtype,inschool,movedlastyear,hadchildlastyear,marriedlastyear,divorcedlastyear,disability,head,spouse,ownershp,homeowner,healthins,nocoverage,commutingtime,foreignborn,citizenship,region,statefip,metrohomeplace,metropop,metroba18pc
1,141,75000,75000,75000,female,31,5+ years of college,18,social sciences,40,nhwhite,0,0,0,1,office,finance,0,1,0,0,0,0,0,0,rented,0,public/employer,0,5,0,1,middle atlantic division,pennsylvania,1,2333367,33.170727
2,91,40000,40000,40000,female,37,1 year of college,13,n/a,40,hispanic,0,1,0,2,health,health,0,1,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,45,0,1,pacific division,california,1,1998463,47.724354
3,67,86700,75000,75000,male,57,5+ years of college,18,social sciences,65,nhwhite,1,1,0,3,legal,professional,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,90,0,1,middle atlantic division,new jersey,1,374733,39.600742
4,124,141566,55000,55000,male,27,"grade 5, 6, 7, or 8",7.5,n/a,50,nhwhite,0,0,0,9,manufandinstallation,manufacture,0,0,0,0,0,0,0,0,owned or being bought (loan),1,no coverage,1,5,0,1,middle atlantic division,pennsylvania,1,542903,26.077747
7,76,229000,99000,99000,female,29,5+ years of college,18,engineering,40,nhasian,1,1,1,3,science,professional,0,1,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,50,0,1,pacific division,california,1,4727357,46.360546
11,60,30000,30000,30000,female,62,grade 12,12,n/a,40,hispanic,0,0,0,1,office,health,0,0,0,0,0,0,1,0,rented,0,public/employer,0,3,0,1,pacific division,california,1,4580670,19.302816
13,47,79400,65000,65000,male,35,1 year of college,13,n/a,65,nhwhite,1,3,1,5,construction,ruralextraction,0,0,0,0,0,0,0,1,rented,0,public/employer,0,10,0,1,mountain division,utah,0,,
14,82,55400,35000,35000,female,49,4 years of college,16,business,40,hispanic,1,2,0,4,office,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,45,0,1,south atlantic division,florida,1,3091399,28.138767
16,168,38600,38600,38600,female,42,5+ years of college,18,"physical fitness, parks, recreation, and leisure",40,nhwhite,0,0,0,1,social,health,0,1,0,0,0,1,1,0,rented,0,public/employer,0,18,0,1,south atlantic division,virginia,0,,
18,316,68000,56000,56000,male,58,grade 12,12,n/a,45,nhwhite,1,0,0,2,businessfinance,manufacture,0,0,0,0,0,0,1,0,rented,0,public/employer,0,16,0,1,middle atlantic division,new york,1,654841,28.9245
20,131,55920,47900,47910,male,36,5+ years of college,18,history,40,nhwhite,1,0,0,2,educationlibrary,education,0,0,0,0,0,1,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,south atlantic division,north carolina,1,179042,28.634781
21,143,67600,53000,53000,female,54,4 years of college,16,criminal justice and fire protection,38,nhblack,1,0,0,2,health,public,1,0,0,0,0,1,0,0,owned or being bought (loan),1,public/employer,0,15,0,1,south atlantic division,south carolina,1,775831,32.648121
22,104,75000,65000,71000,male,35,4 years of college,16,business,45,nhwhite,1,2,2,4,businessfinance,professional,0,0,0,0,0,0,0,1,owned or being bought (loan),1,individual only,0,8,0,1,mountain division,arizona,1,1022769,29.677692
25,88,122000,122000,122000,female,58,1 year of college,13,n/a,43,nhwhite,0,0,0,1,businessfinance,finance,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,pacific division,oregon,1,2451560,37.184464
26,43,175650,38000,38000,female,38,5+ years of college,18,history,50,nhwhite,1,0,0,4,educationlibrary,education,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,50,0,1,south atlantic division,virginia,1,6216710,47.067619
27,245,8000,9000,9000,male,36,grade 12,12,n/a,60,nhwhite,0,7,1,9,construction,construction,0,1,0,0,0,0,0,0,rented,0,public/employer,0,10,0,1,east north central div,ohio,0,,
30,23,36500,34000,34000,female,45,2 years of college,14,n/a,40,nhwhite,0,1,0,2,health,health,0,0,0,0,0,0,1,0,rented,0,public/employer,0,40,0,1,middle atlantic division,pennsylvania,1,2333367,33.170727
31,109,90000,90000,90000,female,60,4 years of college,16,fine arts,60,hispanic,1,0,0,1,businessfinance,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,1,1,middle atlantic division,new york,1,20320876,37.242645
33,202,102000,61000,61000,female,25,4 years of college,16,medical and health sciences and services,38,nhwhite,1,0,0,2,health,health,0,1,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,45,0,1,south atlantic division,georgia,1,5882450,34.712471
39,138,120200,82000,82000,male,48,1 year of college,13,n/a,40,nhwhite,1,0,0,2,businessfinance,retailtrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,45,0,1,pacific division,california,1,4727357,46.360546
40,82,0,58000,58020,female,36,2 years of college,14,n/a,40,nhwhite,0,1,0,3,businessfinance,finance,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,30,0,1,pacific division,washington,0,,
41,138,108100,90000,90000,male,62,5+ years of college,18,engineering,60,nhwhite,1,0,0,2,office,manufacture,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,20,0,1,south atlantic division,virginia,1,181986,25.885456
43,70,55000,40000,42000,female,26,5+ years of college,18,social sciences,50,hispanic,0,0,0,2,educationlibrary,education,0,1,0,0,0,0,0,0,rented,0,public/employer,0,30,1,1,new england division,massachusetts,1,4836531,44.245804
44,105,225010,46000,46000,female,58,grade 12,12,n/a,40,nhwhite,1,1,0,3,office,finance,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,15,0,1,new england division,massachusetts,1,942475,32.317066
47,73,53500,50000,50000,male,33,4 years of college,16,linguistics and foreign languages,60,nhwhite,1,2,2,4,office,professional,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,80,0,1,mountain division,utah,1,617678,32.607349
50,118,127000,63000,68000,female,37,5+ years of college,18,education administration and teaching,45,nhwhite,1,2,0,4,educationlibrary,education,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,7,0,1,west north central div,missouri,0,,
54,348,87000,65000,65000,female,42,4 years of college,16,psychology,40,nhwhite,1,3,1,5,office,information,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,10,0,1,west south central div,oklahoma,0,,
59,112,69000,30000,30000,male,27,2 years of college,14,n/a,40,nhwhite,1,1,1,3,manufandinstallation,retailtrade,0,0,0,0,0,0,0,1,rented,0,public/employer,0,25,0,1,west north central div,missouri,1,461469,25.359501
60,133,158000,86000,86000,male,32,4 years of college,16,business,40,nhwhite,1,3,1,5,salesandservicesandfood,finance,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,20,0,1,pacific division,california,1,272673,12.371526
66,36,96800,75000,87000,male,58,2 years of college,14,n/a,50,nhwhite,1,1,0,3,salesandservicesandfood,retailtrade,0,0,0,0,0,1,1,0,owned or being bought (loan),1,public/employer,0,12,0,1,east north central div,wisconsin,0,,
